"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"1",NA,"2OH10:0Concentration","Concentration of methyl 2-hydroxydecanoate","nanomolesPerGram","real",""
"2",NA,"2OH12:0Concentration","Concentration of methyl 2-hydroxydodecanoate","nanomolesPerGram","real",""
"3",NA,"2OH14:0Concentration","Concentration of methyl 2-hydroxytetradecanoate","nanomolesPerGram","real",""
"4",NA,"2OH16:0Concentration","Concentration of methyl 2-hydroxyhexadecanoate","nanomolesPerGram","real",""
"5",NA,"3OH12:0Concentration","Concentration of methyl 3-hydroxydodecanoate","nanomolesPerGram","real",""
"6",NA,"3OH14:0Concentration","Concentration of methyl 3-hydroxytetradecanoate","nanomolesPerGram","real",""
"7",NA,"aC15:0Concentration","Concentration of 12-methyltetradecanoic acid methyl ester","nanomolesPerGram","real",""
"8",NA,"accuracy","How close a measured value is to the actual, true value","NA","real",NA
"9",NA,"acidity","Extractable acidity measured as the amount of acid neutralized in BaCl2-TEA at pH 8.2","centimolesPerKilogram","real",""
"10",NA,"acidOxalateMethod","Methods used for acid oxalate extraction","NA","string",""
"11",NA,"acidOxalateMethodBook","Citation for publication describing the methods used for acid oxalate extraction","NA","string",""
"12",NA,"acidOxalateProcessedDate","Date of processing sample for acid oxalate extraction","NA","dateTime",""
"13",NA,"actualOrEstimated","Indication of whether the count is actual or estimated","NA","string",""
"14",NA,"aDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 1","centimeter","real",NA
"15",NA,"adjAdultCount","Count of adults of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"16",NA,"adjAlgal13C","Average delta 13C of replicate filters, if replicates were collected","perMill","real",NA
"17",NA,"adjAlgal15N","Average delta 15N of replicate filters, if replicates were collected","perMill","real",NA
"18",NA,"adjAlgal34S","Average delta 34S of replicate filters, if replicates were collected","perMill","real",NA
"19",NA,"adjAlgalC","Average total carbon of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"20",NA,"adjAlgalChlA","Average algal chlorophyll a of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
